name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
Bar-Mitzvah,Heuss L'enfoiré,0.823,0.849,5,-3.723,1,0.244,0.148,0.000307,0.0446,0.692,140.067,127383,4,0
L'enfoiré,Heuss L'enfoiré,0.652,0.621,7,-6.011,1,0.526,0.28,0.0,0.116,0.377,87.767,253133,4,0
Ténébreux,Jul,0.971,0.523,7,-6.143,1,0.216,0.639,0.0,0.0969,0.78,113.018,234667,4,0
Jefe,Ninho,0.648,0.599,7,-8.611,0,0.0799,0.474,6.81e-06,0.121,0.213,120.985,177705,4,0
Fetty Wap,Maes,0.919,0.621,9,-4.9,1,0.274,0.282,0.0,0.0839,0.555,130.12,164334,4,0
Paradise,Rymz,0.684,0.723,6,-7.821,0,0.192,0.701,2.06e-05,0.103,0.654,77.475,260682,4,0
Rock'n'Roll,Youv Dee,0.651,0.474,2,-7.453,1,0.0448,0.482,0.0,0.127,0.466,105.51,159981,4,0
Lucky You (feat. Joyner Lucas),Eminem,0.877,0.651,10,-8.541,0,0.317,0.0507,0.0,0.141,0.586,153.016,246001,4,0
Rap God,Eminem,0.71,0.843,7,-2.646,1,0.314,0.395,0.0,0.794,0.625,148.134,363521,4,0
Les sardines,Patrick Sébastien,0.772,0.874,10,-4.164,1,0.139,0.00889,1.54e-06,0.885,0.966,154.015,233867,4,0
Tourner les serviettes,Patrick Sébastien,0.677,0.822,9,-10.107,1,0.058,0.00122,0.000137,0.0481,0.925,154.92,233520,4,0
La Kush,Lorenzo,0.816,0.87,5,-5.702,0,0.0976,0.0487,0.0,0.123,0.879,135.053,139640,4,0
Fan,Bigflo & Oli,0.775,0.671,7,-7.341,1,0.27,0.0407,2.5e-06,0.651,0.481,92.045,205227,4,0
Les lacs du Connemara,Michel Sardou,0.303,0.59,3,-10.372,1,0.0483,0.57,0.0,0.628,0.396,112.297,363533,4,0
Irréel - Intro,Nej,0.614,0.433,0,-5.619,0,0.0278,0.772,1.06e-06,0.0906,0.339,133.698,141241,4,0
SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,0
All Girls Are The Same,Juice WRLD,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4,0
Jour 1,Louane,0.642,0.54,0,-8.811,0,0.0422,0.03,0.0,0.33,0.394,110.013,217347,4,0
